Difficulty,Configuration,Valid n,Valid Rate,Chamfer,Volume F1,Diff F1,Total Cost,Mean Cost/Task,Total Tokens,Mean Tokens/Task
Easy,NeuralCAD-Edit,13,0.81250000,0.80443956,0.78448606,0.44543350,4.40014500,0.27500906,614259.0,38391.2
Easy,Visual Hypotheses,14,0.87500000,0.86615919,0.84693056,0.48554431,5.22707500,0.32669219,796800.0,49800.0
Easy,Intent-Aware Editing,13,0.81250000,0.80425519,0.78810537,0.46186925,11.12799500,0.69549969,1680719.0,105044.9
Easy,DIA-CAD,15,0.93750000,0.92771394,0.90957006,0.44568563,18.17460000,1.13591250,2797645.0,174852.8
Medium,NeuralCAD-Edit,13,0.81250000,0.79257256,0.69106294,0.25997975,4.82496000,0.30156000,632982.0,39561.4
Medium,Visual Hypotheses,14,0.87500000,0.84794587,0.74203344,0.19846894,6.86240500,0.42890031,966291.0,60393.2
Medium,Intent-Aware Editing,16,1.00000000,0.97615756,0.92469981,0.34106469,11.16259000,0.69766187,1693503.0,105843.9
Medium,DIA-CAD,16,1.00000000,0.97637806,0.87413769,0.30784737,20.30332500,1.26895781,3019530.0,188720.6
Hard,NeuralCAD-Edit,13,0.81250000,0.78100400,0.68785756,0.27156256,7.26360000,0.45397500,855400.0,53462.5
Hard,Visual Hypotheses,15,0.93750000,0.90675037,0.80011294,0.27807325,12.81574000,0.80098375,1783533.0,111470.8
Hard,Intent-Aware Editing,13,0.81250000,0.79635369,0.71121425,0.18248100,17.70427500,1.10651719,2506825.0,156676.6
Hard,DIA-CAD,15,0.93750000,0.92308919,0.87193544,0.30919869,19.46447000,1.21652938,2752599.0,172037.4
