difficulty,configuration,delta_cost,rel_valid_pct,rel_chamfer_pct,rel_volume_f1_pct,rel_diff_f1_pct,baseline_valid_rate,baseline_chamfer,baseline_volume_f1,baseline_diff_f1,is_reference
all,NeuralCAD-Edit,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,1
Easy,Visual Hypotheses,0.05168313,7.69230769,7.67237628,7.95992474,9.00489299,0.81250000,0.80443956,0.78448606,0.44543350,0
Easy,Intent-Aware Editing,0.42049063,0.00000000,-0.02291906,0.46136065,3.68983249,0.81250000,0.80443956,0.78448606,0.44543350,0
Easy,DIA-CAD,0.86090344,15.38461538,15.32425631,15.94470653,0.05660329,0.81250000,0.80443956,0.78448606,0.44543350,0
Medium,Visual Hypotheses,0.12734031,7.69230769,6.98652878,7.37566682,-23.65984658,0.81250000,0.79257256,0.69106294,0.25997975,0
Medium,Intent-Aware Editing,0.39610187,23.07692308,23.16317890,33.80833445,31.18894452,0.81250000,0.79257256,0.69106294,0.25997975,0
Medium,DIA-CAD,0.96739781,23.07692308,23.19099970,26.49176210,18.41205709,0.81250000,0.79257256,0.69106294,0.25997975,0
Hard,Visual Hypotheses,0.34700875,15.38461538,16.10060512,16.31956767,2.39749176,0.81250000,0.78100400,0.68785756,0.27156256,0
Hard,Intent-Aware Editing,0.65254219,0.00000000,1.96537918,3.39557073,-32.80332900,0.81250000,0.78100400,0.68785756,0.27156256,0
Hard,DIA-CAD,0.76255438,15.38461538,18.19263282,26.76104628,13.85910120,0.81250000,0.78100400,0.68785756,0.27156256,0
