case_id,difficulty,request_id,harness_status,chamfer_similarity_norm,volume_f1,diff_f1,iou,total_tokens,error
easy_001,easy,3YH2WFSRM22W7DKT_1769174947.8063738,completed_with_step,0.995702,1.0,0.998266,1.0,17425,
easy_002,easy,3YH2WFSRM22W7DKT_1769176912.388391,completed_with_step,0.993731,0.982556,0.679834,0.96571,18898,
easy_003,easy,3YH2WFSRM22W7DKT_1769773134.1453462,completed_with_step,0.980509,0.774868,0.074622,0.632477,19286,
easy_004,easy,3YH2WFSRM22W7DKT_1769779150.98797,completed_with_step,0.984234,0.999263,0.970202,0.998528,23036,
easy_005,easy,4E22SJE7QVTSP2E3_1758737060.465216,completed_with_step,0.989069,0.999976,0.999261,0.999951,24915,
easy_006,easy,4S7JQK6ZQMAD25GL_1758863141.735564,completed_with_step,0.989541,0.996588,0.066603,0.9932,40915,
easy_007,easy,B7A2N74ZJBF9MZHU_1770166308.11235,completed_with_step,0.993064,0.999763,0.994083,0.999526,28093,
easy_008,easy,B7A2N74ZJBF9MZHU_1770169445.8914912,failed,0.0,0.0,0.0,0.0,2744,missing_pred_stl
easy_009,easy,B7A2N74ZJBF9MZHU_1770171470.1448698,completed_with_step,0.993675,0.867351,0.009112,0.765773,60981,
easy_010,easy,B7A2N74ZJBF9MZHU_1770174133.012106,failed,0.0,0.0,0.0,0.0,2593,missing_pred_stl
easy_011,easy,F332D3FXML85WLR2_1769424096.996583,completed_with_step,0.988046,0.981952,0.57786,0.964545,62890,
easy_012,easy,F332D3FXML85WLR2_1770204558.429523,completed_with_step,0.994614,0.999574,0.963415,0.999149,201075,
easy_013,easy,F332D3FXML85WLR2_1770208282.204381,completed_with_step,0.987879,0.953196,0.147368,0.910577,41639,
easy_014,easy,SUJ2G2UMJQR7PMBX_1759203600.26663,failed,0.0,0.0,0.0,0.0,2545,missing_pred_stl
easy_015,easy,SUJ2G2UMJQR7PMBX_1759209917.917027,failed,0.991721,0.998353,0.0,0.996712,2866,
easy_016,easy,ZK22J6VYRKQ2RTFD_1758875163.609787,completed_with_step,0.989248,0.998337,0.64631,0.99668,64358,
hard_001,hard,3YH2WFSRM22W7DKT_1769175629.871246,completed_with_step,0.965795,0.674705,0.291358,0.509098,36106,
hard_002,hard,3YH2WFSRM22W7DKT_1769177116.6129558,completed_with_step,0.994101,0.9903,0.190476,0.980786,104279,
hard_003,hard,3YH2WFSRM22W7DKT_1769773481.491738,completed_with_step,0.984384,0.984477,0.855424,0.969428,47219,
hard_004,hard,3YH2WFSRM22W7DKT_1769782403.586036,completed_with_step,0.985017,0.999313,0.430303,0.998626,75006,
hard_005,hard,4E22SJE7QVTSP2E3_1758737238.499021,completed_with_step,0.928853,0.803132,0.0,0.671028,84765,
hard_006,hard,4S7JQK6ZQMAD25GL_1758863403.376244,completed_with_step,0.987679,0.991883,0.0,0.983896,21164,
hard_007,hard,B7A2N74ZJBF9MZHU_1770167800.9857888,completed_with_step,0.993037,0.997966,0.467836,0.995939,64084,
hard_008,hard,B7A2N74ZJBF9MZHU_1770169975.851399,failed,0.0,0.0,0.0,0.0,2812,missing_pred_stl
hard_009,hard,B7A2N74ZJBF9MZHU_1770172545.5244548,completed_with_step,0.992943,0.799053,0.497289,0.665352,83906,
hard_010,hard,B7A2N74ZJBF9MZHU_1770174519.556716,failed,0.0,0.0,0.0,0.0,7717,missing_pred_stl
hard_011,hard,F332D3FXML85WLR2_1769607142.566352,completed_with_step,0.993291,0.980468,0.9375,0.961684,73927,
hard_012,hard,F332D3FXML85WLR2_1770206307.074256,completed_with_step,0.715354,0.041707,0.0,0.021297,52794,
hard_013,hard,F332D3FXML85WLR2_1770208398.300075,completed_with_step,0.983937,0.776301,0.66588,0.634389,90479,
hard_014,hard,SUJ2G2UMJQR7PMBX_1759203739.2515829,failed,0.984672,0.985817,0.005274,0.97203,2501,
hard_015,hard,SUJ2G2UMJQR7PMBX_1759210049.432666,failed,0.0,0.0,0.0,0.0,2615,missing_pred_stl
hard_016,hard,ZK22J6VYRKQ2RTFD_1758874422.1403751,completed_with_step,0.987001,0.980599,0.003661,0.961937,106026,
medium_001,medium,3YH2WFSRM22W7DKT_1769175216.745646,completed_with_step,0.843294,0.157033,0.032337,0.085207,20862,
medium_002,medium,3YH2WFSRM22W7DKT_1769177020.525719,completed_with_step,0.987322,0.69259,0.292949,0.529742,19349,
medium_003,medium,3YH2WFSRM22W7DKT_1769773335.525203,completed_with_step,0.984927,0.997616,0.83934,0.995243,19104,
medium_004,medium,3YH2WFSRM22W7DKT_1769783385.069543,completed_with_step,0.984351,0.999022,0.0,0.998046,135424,
medium_005,medium,4E22SJE7QVTSP2E3_1758737118.288898,completed_with_step,0.988277,0.958439,0.339683,0.920194,23396,
medium_006,medium,4S7JQK6ZQMAD25GL_1758863286.214549,completed_with_step,0.988352,0.986988,0.0,0.97431,98994,
medium_007,medium,B7A2N74ZJBF9MZHU_1770166901.871316,completed_with_step,0.992948,0.995602,0.571429,0.991242,26180,
medium_008,medium,B7A2N74ZJBF9MZHU_1770169718.2982779,failed,0.0,0.0,0.0,0.0,2693,missing_pred_stl
medium_009,medium,B7A2N74ZJBF9MZHU_1770171700.697783,completed_with_step,0.995935,0.998801,0.989796,0.997606,105933,
medium_010,medium,B7A2N74ZJBF9MZHU_1770174308.67968,failed,0.0,0.0,0.0,0.0,2617,missing_pred_stl
medium_011,medium,F332D3FXML85WLR2_1770204696.542443,completed_with_step,0.994272,0.999857,0.998739,0.999714,36616,
medium_012,medium,F332D3FXML85WLR2_1770205912.1187751,completed_with_step,0.96434,0.364653,0.094546,0.222982,21978,
medium_013,medium,F332D3FXML85WLR2_1770208371.265217,completed_with_step,0.985553,0.986105,0.0,0.972591,70073,
medium_014,medium,SUJ2G2UMJQR7PMBX_1759203664.9815512,failed,0.987548,0.997843,0.0,0.995695,2690,
medium_015,medium,SUJ2G2UMJQR7PMBX_1759209987.785593,failed,0.0,0.0,0.0,0.0,2610,missing_pred_stl
medium_016,medium,ZK22J6VYRKQ2RTFD_1758873912.731081,completed_with_step,0.984042,0.922458,0.000857,0.856076,44463,
