case_id,difficulty,request_id,harness_status,chamfer_similarity_norm,volume_f1,diff_f1,iou,total_tokens,error
easy_001,easy,3YH2WFSRM22W7DKT_1769174947.8063738,completed_with_step,0.995701,1.0,0.998266,1.0,79726,
easy_002,easy,3YH2WFSRM22W7DKT_1769176912.388391,completed_with_step,0.993415,0.978446,0.512456,0.957802,117957,
easy_003,easy,3YH2WFSRM22W7DKT_1769773134.1453462,completed_with_step,0.980228,0.790678,0.0,0.653819,79211,
easy_004,easy,3YH2WFSRM22W7DKT_1769779150.98797,completed_with_step,0.984325,0.998686,0.947502,0.997376,125331,
easy_005,easy,4E22SJE7QVTSP2E3_1758737060.465216,completed_with_step,0.989138,0.999976,0.999261,0.999951,83596,
easy_006,easy,4S7JQK6ZQMAD25GL_1758863141.735564,completed_with_step,0.989568,0.996588,0.066603,0.9932,77517,
easy_007,easy,B7A2N74ZJBF9MZHU_1770166308.11235,completed_with_step,0.993019,0.999289,0.982036,0.998578,92300,
easy_008,easy,B7A2N74ZJBF9MZHU_1770169445.8914912,failed,0.0,0.0,0.0,0.0,44372,missing_pred_stl
easy_009,easy,B7A2N74ZJBF9MZHU_1770171470.1448698,completed_with_step,0.993325,0.819321,0.132931,0.69394,84749,
easy_010,easy,B7A2N74ZJBF9MZHU_1770174133.012106,failed,0.0,0.0,0.0,0.0,44212,missing_pred_stl
easy_011,easy,F332D3FXML85WLR2_1769424096.996583,completed_with_step,0.988046,0.982277,0.582184,0.96517,240545,
easy_012,easy,F332D3FXML85WLR2_1770204558.429523,completed_with_step,0.994617,0.999503,0.957055,0.999007,124530,
easy_013,easy,F332D3FXML85WLR2_1770208282.204381,completed_with_step,0.988712,0.994527,0.944105,0.989114,216758,
easy_014,easy,SUJ2G2UMJQR7PMBX_1759203600.26663,failed,0.987518,0.994908,0.0,0.989867,48418,
easy_015,easy,SUJ2G2UMJQR7PMBX_1759209917.917027,failed,0.991655,0.998353,0.0,0.996712,46128,
easy_016,easy,ZK22J6VYRKQ2RTFD_1758875163.609787,completed_with_step,0.98928,0.998337,0.64631,0.99668,72059,
hard_001,hard,3YH2WFSRM22W7DKT_1769175629.871246,completed_with_step,0.94219,0.472624,0.260412,0.309435,325208,
hard_002,hard,3YH2WFSRM22W7DKT_1769177116.6129558,completed_with_step,0.994165,0.994487,0.44898,0.989034,149003,
hard_003,hard,3YH2WFSRM22W7DKT_1769773481.491738,completed_with_step,0.984149,0.984477,0.855424,0.969428,94487,
hard_004,hard,3YH2WFSRM22W7DKT_1769782403.586036,completed_with_step,0.984739,0.999273,0.366366,0.998547,80398,
hard_005,hard,4E22SJE7QVTSP2E3_1758737238.499021,completed_with_step,0.985351,0.899728,0.145276,0.817732,103789,
hard_006,hard,4S7JQK6ZQMAD25GL_1758863403.376244,completed_with_step,0.989185,0.996717,0.064833,0.993455,79588,
hard_007,hard,B7A2N74ZJBF9MZHU_1770167800.9857888,completed_with_step,0.993067,0.997966,0.467836,0.995939,161316,
hard_008,hard,B7A2N74ZJBF9MZHU_1770169975.851399,failed,0.0,0.0,0.0,0.0,48638,missing_pred_stl
hard_009,hard,B7A2N74ZJBF9MZHU_1770172545.5244548,completed_with_step,0.99286,0.800117,0.505669,0.66683,361862,
hard_010,hard,B7A2N74ZJBF9MZHU_1770174519.556716,failed,0.98407,0.990616,0.0,0.981406,67216,
hard_011,hard,F332D3FXML85WLR2_1769607142.566352,completed_with_step,0.991234,0.89076,0.659922,0.803036,272291,
hard_012,hard,F332D3FXML85WLR2_1770206307.074256,completed_with_step,0.719654,0.041183,0.0,0.021024,277292,
hard_013,hard,F332D3FXML85WLR2_1770208398.300075,completed_with_step,0.984028,0.774485,0.666692,0.631967,196891,
hard_014,hard,SUJ2G2UMJQR7PMBX_1759203739.2515829,failed,0.984617,0.985817,0.005274,0.97203,67936,
hard_015,hard,SUJ2G2UMJQR7PMBX_1759210049.432666,failed,0.991381,0.992606,0.0,0.985321,46233,
hard_016,hard,ZK22J6VYRKQ2RTFD_1758874422.1403751,completed_with_step,0.987316,0.980951,0.002488,0.962614,292518,
medium_001,medium,3YH2WFSRM22W7DKT_1769175216.745646,completed_with_step,0.782122,0.200831,0.107776,0.111624,85032,
medium_002,medium,3YH2WFSRM22W7DKT_1769177020.525719,completed_with_step,0.988846,0.738283,0.160999,0.585142,118343,
medium_003,medium,3YH2WFSRM22W7DKT_1769773335.525203,completed_with_step,0.984872,0.664669,0.679937,0.497756,90759,
medium_004,medium,3YH2WFSRM22W7DKT_1769783385.069543,completed_with_step,0.984494,0.999022,0.0,0.998046,148206,
medium_005,medium,4E22SJE7QVTSP2E3_1758737118.288898,completed_with_step,0.988553,0.974674,0.230626,0.9506,253160,
medium_006,medium,4S7JQK6ZQMAD25GL_1758863286.214549,completed_with_step,0.987617,0.9834,0.248649,0.967343,81232,
