case_id,difficulty,request_id,harness_status,chamfer_similarity_norm,volume_f1,diff_f1,iou,total_tokens,error
easy_001,easy,3YH2WFSRM22W7DKT_1769174947.8063738,completed_with_step,0.995638,1.0,0.998303,1.0,61688,
easy_002,easy,3YH2WFSRM22W7DKT_1769176912.388391,completed_with_step,0.993391,0.981838,0.593333,0.964324,66956,
easy_003,easy,3YH2WFSRM22W7DKT_1769773134.1453462,failed,0.981428,0.824084,0.035787,0.700801,139455,
easy_004,easy,3YH2WFSRM22W7DKT_1769779150.98797,completed_with_step,0.984198,0.998686,0.947502,0.997376,127645,
easy_005,easy,4E22SJE7QVTSP2E3_1758737060.465216,completed_with_step,0.989126,0.999976,0.999261,0.999951,44180,
easy_006,easy,4S7JQK6ZQMAD25GL_1758863141.735564,completed_with_step,0.989513,0.996546,0.065851,0.993116,87838,
easy_007,easy,B7A2N74ZJBF9MZHU_1770166308.11235,completed_with_step,0.992825,0.99929,0.982036,0.998581,43804,
easy_008,easy,B7A2N74ZJBF9MZHU_1770169445.8914912,failed,0.0,0.0,0.0,0.0,249619,missing_pred_stl
easy_009,easy,B7A2N74ZJBF9MZHU_1770171470.1448698,completed_with_step,0.993338,0.819321,0.132931,0.69394,28916,
easy_010,easy,B7A2N74ZJBF9MZHU_1770174133.012106,completed_with_step,0.985621,0.99975,0.798956,0.999499,113985,
easy_011,easy,F332D3FXML85WLR2_1769424096.996583,failed,0.0,0.0,0.0,0.0,57996,missing_pred_stl
easy_012,easy,F332D3FXML85WLR2_1770204558.429523,completed_with_step,0.994542,0.999503,0.957055,0.999007,79981,
easy_013,easy,F332D3FXML85WLR2_1770208282.204381,failed,0.0,0.0,0.0,0.0,210700,missing_pred_stl
easy_014,easy,SUJ2G2UMJQR7PMBX_1759203600.26663,completed_with_step,0.987452,0.992757,0.0,0.985619,160790,
easy_015,easy,SUJ2G2UMJQR7PMBX_1759209917.917027,completed_with_step,0.991627,0.998353,0.0,0.996712,140662,
easy_016,easy,ZK22J6VYRKQ2RTFD_1758875163.609787,completed_with_step,0.989384,0.999582,0.878893,0.999164,66504,
hard_001,hard,3YH2WFSRM22W7DKT_1769175629.871246,completed_with_step,0.971171,0.533589,0.291688,0.363874,42221,
hard_002,hard,3YH2WFSRM22W7DKT_1769177116.6129558,completed_with_step,0.99411,0.98834,0.0,0.976948,70034,
hard_003,hard,3YH2WFSRM22W7DKT_1769773481.491738,completed_with_step,0.983235,0.926446,0.596499,0.862972,76059,
hard_004,hard,3YH2WFSRM22W7DKT_1769782403.586036,completed_with_step,0.98489,0.99911,0.195804,0.998221,124817,
hard_005,hard,4E22SJE7QVTSP2E3_1758737238.499021,completed_with_step,0.925559,0.871844,0.0,0.772805,87186,
hard_006,hard,4S7JQK6ZQMAD25GL_1758863403.376244,completed_with_step,0.988596,0.991931,0.052589,0.983992,61284,
hard_007,hard,B7A2N74ZJBF9MZHU_1770167800.9857888,completed_with_step,0.962431,0.397972,0.055532,0.248418,79652,
hard_008,hard,B7A2N74ZJBF9MZHU_1770169975.851399,failed,0.0,0.0,0.0,0.0,253935,missing_pred_stl
hard_009,hard,B7A2N74ZJBF9MZHU_1770172545.5244548,completed_with_step,0.993015,0.825679,0.531033,0.703111,202173,
hard_010,hard,B7A2N74ZJBF9MZHU_1770174519.556716,completed_with_step,0.983287,0.980872,0.0,0.962461,406591,
hard_011,hard,F332D3FXML85WLR2_1769607142.566352,completed_with_step,0.991707,0.89874,0.673432,0.816101,119452,
hard_012,hard,F332D3FXML85WLR2_1770206307.074256,failed,0.0,0.0,0.0,0.0,327169,missing_pred_stl
hard_013,hard,F332D3FXML85WLR2_1770208398.300075,failed,0.0,0.0,0.0,0.0,205130,missing_pred_stl
hard_014,hard,SUJ2G2UMJQR7PMBX_1759203739.2515829,completed_with_step,0.984688,0.984046,0.004699,0.968593,211523,
hard_015,hard,SUJ2G2UMJQR7PMBX_1759210049.432666,completed_with_step,0.991482,0.994637,0.44523,0.989331,142060,
hard_016,hard,ZK22J6VYRKQ2RTFD_1758874422.1403751,completed_with_step,0.987488,0.986222,0.07319,0.972818,97539,
medium_001,medium,3YH2WFSRM22W7DKT_1769175216.745646,completed_with_step,0.788389,0.209923,0.117891,0.11727,42790,
medium_002,medium,3YH2WFSRM22W7DKT_1769177020.525719,completed_with_step,0.989869,0.834924,0.60656,0.716626,43465,
medium_003,medium,3YH2WFSRM22W7DKT_1769773335.525203,completed_with_step,0.98481,0.997616,0.83934,0.995243,71839,
medium_004,medium,3YH2WFSRM22W7DKT_1769783385.069543,completed_with_step,0.984468,0.999022,0.0,0.998046,169140,
medium_005,medium,4E22SJE7QVTSP2E3_1758737118.288898,completed_with_step,0.988584,0.963057,0.398319,0.928746,46681,
medium_006,medium,4S7JQK6ZQMAD25GL_1758863286.214549,failed,0.988286,0.990068,0.241452,0.980332,237968,
medium_007,medium,B7A2N74ZJBF9MZHU_1770166901.871316,completed_with_step,0.992812,0.995611,0.571429,0.99126,26732,
medium_008,medium,B7A2N74ZJBF9MZHU_1770169718.2982779,completed_with_step,0.988902,0.998611,0.0,0.997226,133461,
medium_009,medium,B7A2N74ZJBF9MZHU_1770171700.697783,completed_with_step,0.995943,0.998801,0.989796,0.997606,48203,
medium_010,medium,B7A2N74ZJBF9MZHU_1770174308.67968,completed_with_step,0.984909,0.99957,0.037975,0.999141,214121,
medium_011,medium,F332D3FXML85WLR2_1770204696.542443,completed_with_step,0.993162,0.955711,0.402414,0.915179,55481,
medium_012,medium,F332D3FXML85WLR2_1770205912.1187751,completed_with_step,0.989226,0.999616,0.99981,0.999233,86416,
medium_013,medium,F332D3FXML85WLR2_1770208371.265217,completed_with_step,0.988286,0.954955,0.140681,0.913794,90266,
medium_014,medium,SUJ2G2UMJQR7PMBX_1759203664.9815512,completed_with_step,0.987501,0.997777,0.0,0.995564,157805,
