case_id,difficulty,request_id,harness_status,chamfer_similarity_norm,volume_f1,diff_f1,iou,total_tokens,error
easy_001,easy,3YH2WFSRM22W7DKT_1769174947.8063738,completed_with_step,0.995738,1.0,0.998303,1.0,122491,
easy_002,easy,3YH2WFSRM22W7DKT_1769176912.388391,completed_with_step,0.993827,0.98327,0.679834,0.967091,91531,
easy_003,easy,3YH2WFSRM22W7DKT_1769773134.1453462,failed,0.979682,0.770667,0.002192,0.626898,352474,
easy_004,easy,3YH2WFSRM22W7DKT_1769779150.98797,completed_with_step,0.984132,0.997278,0.898551,0.99457,201311,
easy_005,easy,4E22SJE7QVTSP2E3_1758737060.465216,completed_with_step,0.989166,0.999976,0.999261,0.999951,153793,
easy_006,easy,4S7JQK6ZQMAD25GL_1758863141.735564,completed_with_step,0.98956,0.996546,0.065851,0.993116,112209,
easy_007,easy,B7A2N74ZJBF9MZHU_1770166308.11235,completed_with_step,0.992309,0.996929,0.928177,0.993877,95295,
easy_008,easy,B7A2N74ZJBF9MZHU_1770169445.8914912,completed_with_step,0.989,0.999869,0.0,0.999738,274140,
easy_009,easy,B7A2N74ZJBF9MZHU_1770171470.1448698,completed_with_step,0.993635,0.867226,0.009112,0.765577,91492,
easy_010,easy,B7A2N74ZJBF9MZHU_1770174133.012106,completed_with_step,0.985528,0.99975,0.798956,0.999499,137439,
easy_011,easy,F332D3FXML85WLR2_1769424096.996583,failed,0.0,0.0,0.0,0.0,134085,missing_pred_stl
easy_012,easy,F332D3FXML85WLR2_1770204558.429523,completed_with_step,0.994584,0.999503,0.957055,0.999007,166763,
easy_013,easy,F332D3FXML85WLR2_1770208282.204381,completed_with_step,0.987959,0.953196,0.147368,0.910577,186806,
easy_014,easy,SUJ2G2UMJQR7PMBX_1759203600.26663,completed_with_step,0.9873,0.992221,0.0,0.984562,306868,
easy_015,easy,SUJ2G2UMJQR7PMBX_1759209917.917027,completed_with_step,0.991757,0.998353,0.0,0.996712,275942,
easy_016,easy,ZK22J6VYRKQ2RTFD_1758875163.609787,completed_with_step,0.989246,0.998337,0.64631,0.99668,95006,
hard_001,hard,3YH2WFSRM22W7DKT_1769175629.871246,completed_with_step,0.966467,0.57889,0.398798,0.407351,127082,
hard_002,hard,3YH2WFSRM22W7DKT_1769177116.6129558,completed_with_step,0.993978,0.989362,0.109215,0.978948,96230,
hard_003,hard,3YH2WFSRM22W7DKT_1769773481.491738,completed_with_step,0.984193,0.995459,0.962589,0.990959,113023,
hard_004,hard,3YH2WFSRM22W7DKT_1769782403.586036,completed_with_step,0.984684,0.999339,0.341137,0.998678,120023,
hard_005,hard,4E22SJE7QVTSP2E3_1758737238.499021,completed_with_step,0.986781,0.93024,0.366314,0.869579,141763,
hard_006,hard,4S7JQK6ZQMAD25GL_1758863403.376244,completed_with_step,0.989218,0.99675,0.002119,0.993521,88728,
hard_007,hard,B7A2N74ZJBF9MZHU_1770167800.9857888,completed_with_step,0.992995,0.997966,0.467836,0.995939,163452,
hard_008,hard,B7A2N74ZJBF9MZHU_1770169975.851399,completed_with_step,0.988762,0.999267,0.0,0.998536,207503,
hard_009,hard,B7A2N74ZJBF9MZHU_1770172545.5244548,completed_with_step,0.994928,0.985485,0.962423,0.971385,160285,
hard_010,hard,B7A2N74ZJBF9MZHU_1770174519.556716,failed,0.984601,0.997023,0.834796,0.994063,540545,
hard_011,hard,F332D3FXML85WLR2_1769607142.566352,completed_with_step,0.954267,0.700259,0.032354,0.538768,215772,
hard_012,hard,F332D3FXML85WLR2_1770206307.074256,failed,0.0,0.0,0.0,0.0,253013,missing_pred_stl
hard_013,hard,F332D3FXML85WLR2_1770208398.300075,completed_with_step,0.985817,0.825321,0.461751,0.702592,131259,
hard_014,hard,SUJ2G2UMJQR7PMBX_1759203739.2515829,completed_with_step,0.984018,0.983347,0.004527,0.967239,139244,
hard_015,hard,SUJ2G2UMJQR7PMBX_1759210049.432666,completed_with_step,0.991313,0.986454,0.0,0.973271,156365,
hard_016,hard,ZK22J6VYRKQ2RTFD_1758874422.1403751,completed_with_step,0.987405,0.985805,0.00332,0.972007,98312,
medium_001,medium,3YH2WFSRM22W7DKT_1769175216.745646,completed_with_step,0.821582,0.101374,0.013753,0.053394,98700,
medium_002,medium,3YH2WFSRM22W7DKT_1769177020.525719,failed,0.989379,0.828819,0.516333,0.707678,285177,
medium_003,medium,3YH2WFSRM22W7DKT_1769773335.525203,completed_with_step,0.984622,0.992188,0.690221,0.984497,111229,
medium_004,medium,3YH2WFSRM22W7DKT_1769783385.069543,completed_with_step,0.984138,0.985962,0.0,0.972312,121184,
medium_005,medium,4E22SJE7QVTSP2E3_1758737118.288898,completed_with_step,0.988652,0.97609,0.730331,0.953296,122401,
medium_006,medium,4S7JQK6ZQMAD25GL_1758863286.214549,failed,0.984378,0.97812,0.001558,0.957176,273060,
medium_007,medium,B7A2N74ZJBF9MZHU_1770166901.871316,completed_with_step,0.992903,0.995602,0.571429,0.991242,92953,
medium_008,medium,B7A2N74ZJBF9MZHU_1770169718.2982779,completed_with_step,0.988971,0.998611,0.0,0.997226,148354,
medium_009,medium,B7A2N74ZJBF9MZHU_1770171700.697783,completed_with_step,0.995948,0.998801,0.989796,0.997606,124955,
medium_010,medium,B7A2N74ZJBF9MZHU_1770174308.67968,failed,0.984758,0.999556,0.0,0.999113,361768,
medium_011,medium,F332D3FXML85WLR2_1770204696.542443,completed_with_step,0.99426,0.999857,0.998739,0.999714,133515,
medium_012,medium,F332D3FXML85WLR2_1770205912.1187751,completed_with_step,0.963451,0.358191,0.09205,0.218169,91188,
medium_013,medium,F332D3FXML85WLR2_1770208371.265217,failed,0.98868,0.963245,0.297282,0.929095,249002,
