group,case_id,has_step,has_stl,step_relpath
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_001,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_001/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_002,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_002/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_003,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_003/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_004,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_004/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_005,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_005/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_006,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_006/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_007,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_007/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_008,0,0,
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_009,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_009/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_010,0,0,
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_011,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_011/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_012,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_012/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_013,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_013/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_014,0,0,
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_015,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_015/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,easy_016,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/easy_016/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_001,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/hard_001/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_002,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/hard_002/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_003,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/hard_003/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_004,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/hard_004/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_005,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/hard_005/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_006,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/hard_006/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_007,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/hard_007/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_008,0,0,
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_009,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/hard_009/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_010,0,0,
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_011,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/hard_011/tmp.step
1_neuralCAD-Edit_demo1v2_20260912_024039,hard_012,1,1,1_neuralCAD-Edit_demo1v2_20260912_024039/hard_012/tmp.step
