case_id,difficulty,condition,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,calls,source,note
easy_001,easy,neuralCAD-Edit,16295,,1130,342,17425,,oauth_result.json,done
easy_002,easy,neuralCAD-Edit,16881,,2017,901,18898,,oauth_result.json,done
easy_003,easy,neuralCAD-Edit,17323,,1963,792,19286,,oauth_result.json,done
easy_004,easy,neuralCAD-Edit,18315,,4721,3149,23036,,oauth_result.json,done
easy_005,easy,neuralCAD-Edit,23617,,1298,480,24915,,oauth_result.json,done
easy_006,easy,neuralCAD-Edit,37579,,3336,1271,40915,,oauth_result.json,done
easy_007,easy,neuralCAD-Edit,23497,,4596,2496,28093,,oauth_result.json,done
easy_008,easy,neuralCAD-Edit,2265,,479,84,2744,1,oauth_result.json+usage.csv,failed
easy_009,easy,neuralCAD-Edit,52103,,8878,4521,60981,,oauth_result.json,done
easy_010,easy,neuralCAD-Edit,2227,,366,58,2593,1,oauth_result.json+usage.csv,failed
easy_011,easy,neuralCAD-Edit,54866,,8024,4729,62890,,oauth_result.json,done
easy_012,easy,neuralCAD-Edit,190348,,10727,4234,201075,,oauth_result.json,done
easy_013,easy,neuralCAD-Edit,38641,,2998,1436,41639,,oauth_result.json,done
easy_014,easy,neuralCAD-Edit,2221,,324,31,2545,1,oauth_result.json+usage.csv,failed
easy_015,easy,neuralCAD-Edit,2224,,642,116,2866,1,oauth_result.json+usage.csv,failed
easy_016,easy,neuralCAD-Edit,62703,,1655,560,64358,,oauth_result.json,done
medium_001,medium,neuralCAD-Edit,17481,,3381,1824,20862,,oauth_result.json,done
medium_002,medium,neuralCAD-Edit,17161,,2188,747,19349,,oauth_result.json,done
medium_003,medium,neuralCAD-Edit,17248,,1856,553,19104,,oauth_result.json,done
medium_004,medium,neuralCAD-Edit,128112,,7312,3390,135424,8,oauth_result.json+usage.csv,done
medium_005,medium,neuralCAD-Edit,19846,,3550,1770,23396,,oauth_result.json,done
medium_006,medium,neuralCAD-Edit,86593,,12401,7460,98994,7,oauth_result.json+token_usage.json,done
medium_007,medium,neuralCAD-Edit,23593,,2587,982,26180,4,oauth_result.json+token_usage.json,done
medium_008,medium,neuralCAD-Edit,2232,,461,73,2693,1,oauth_result.json+usage.csv,failed
medium_009,medium,neuralCAD-Edit,93082,,12851,9125,105933,6,oauth_result.json+usage.csv,done
medium_010,medium,neuralCAD-Edit,2241,,376,39,2617,1,oauth_result.json+usage.csv,failed
medium_011,medium,neuralCAD-Edit,32170,,4446,3018,36616,3,oauth_result.json+usage.csv,done
medium_012,medium,neuralCAD-Edit,18622,,3356,1260,21978,3,oauth_result.json+usage.csv,done
medium_013,medium,neuralCAD-Edit,62988,,7085,4515,70073,,oauth_result.json,done
medium_014,medium,neuralCAD-Edit,2223,,467,117,2690,1,oauth_result.json+usage.csv,failed
medium_015,medium,neuralCAD-Edit,2217,,393,27,2610,1,oauth_result.json+usage.csv,failed
medium_016,medium,neuralCAD-Edit,40771,,3692,2499,44463,,oauth_result.json,done
hard_001,hard,neuralCAD-Edit,28909,,7197,3787,36106,4,oauth_result.json+usage.csv,done
hard_002,hard,neuralCAD-Edit,92799,,11480,5373,104279,7,oauth_result.json+token_usage.json,done
hard_003,hard,neuralCAD-Edit,43041,,4178,1543,47219,3,oauth_result.json+usage.csv,done
hard_004,hard,neuralCAD-Edit,65851,,9155,4256,75006,6,oauth_result.json+usage.csv,done
hard_005,hard,neuralCAD-Edit,70231,,14534,5255,84765,6,oauth_result.json+usage.csv,done
hard_006,hard,neuralCAD-Edit,17151,,4013,1766,21164,3,oauth_result.json+usage.csv,done
hard_007,hard,neuralCAD-Edit,56155,,7929,4194,64084,6,oauth_result.json+usage.csv,done
hard_008,hard,neuralCAD-Edit,2250,,562,35,2812,1,oauth_result.json+usage.csv,failed
hard_009,hard,neuralCAD-Edit,68936,,14970,10336,83906,5,oauth_result.json+usage.csv,done
hard_010,hard,neuralCAD-Edit,5383,,2334,1032,7717,2,oauth_result.json+usage.csv,failed
hard_011,hard,neuralCAD-Edit,63650,,10277,5849,73927,6,oauth_result.json+usage.csv,done
hard_012,hard,neuralCAD-Edit,42199,,10595,5025,52794,4,oauth_result.json+usage.csv,done
hard_013,hard,neuralCAD-Edit,77562,,12917,7857,90479,5,oauth_result.json+usage.csv,done
hard_014,hard,neuralCAD-Edit,2222,,279,48,2501,1,oauth_result.json+usage.csv,failed
hard_015,hard,neuralCAD-Edit,2220,,395,25,2615,1,oauth_result.json+usage.csv,failed
hard_016,hard,neuralCAD-Edit,97377,,8649,5617,106026,5,oauth_result.json+usage.csv,done
