case_id,difficulty,condition,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,calls,source,note,loop_input_tokens,loop_output_tokens,loop_reasoning_tokens,loop_total_tokens,render_input_tokens,render_output_tokens,render_reasoning_tokens,render_total_tokens,render_calls
easy_001,easy,Visual-Target-Only,29452,,1320,421,30772,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",29452,1320,421,30772,45515,3439,2024,48954,7
easy_002,easy,Visual-Target-Only,64787,,5104,3412,69891,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",64787,5104,3412,69891,45113,2953,1573,48066,7
easy_003,easy,Visual-Target-Only,29891,,2513,1265,32404,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",29891,2513,1265,32404,43155,3652,2173,46807,6
easy_004,easy,Visual-Target-Only,30935,,4716,3228,35651,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",30935,4716,3228,35651,82916,6764,3943,89680,10
easy_005,easy,Visual-Target-Only,37495,,1913,718,39408,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",37495,1913,718,39408,42318,1870,815,44188,6
easy_006,easy,Visual-Target-Only,31634,,2385,1131,34019,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",31634,2385,1131,34019,42230,1268,265,43498,6
easy_007,easy,Visual-Target-Only,41281,,3466,1453,44747,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",41281,3466,1453,44747,45344,2209,882,47553,7
easy_008,easy,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,42614,1758,663,44372,6
easy_009,easy,Visual-Target-Only,36579,,3899,1655,40478,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",36579,3899,1655,40478,42427,1844,776,44271,6
easy_010,easy,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,42593,1619,546,44212,6
easy_011,easy,Visual-Target-Only,188184,,7969,4331,196153,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",188184,7969,4331,196153,42153,2239,1224,44392,6
easy_012,easy,Visual-Target-Only,71572,,4178,2083,75750,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",71572,4178,2083,75750,45305,3475,2328,48780,7
easy_013,easy,Visual-Target-Only,161208,,10620,7592,171828,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",161208,10620,7592,171828,42563,2367,1314,44930,6
easy_014,easy,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,45373,3045,1616,48418,7
easy_015,easy,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,44439,1689,662,46128,7
easy_016,easy,Visual-Target-Only,24059,,1640,729,25699,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",24059,1640,729,25699,44058,2302,1049,46360,7
medium_001,medium,Visual-Target-Only,29449,,4340,3264,33789,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",29449,4340,3264,33789,46104,5139,3423,51243,7
medium_002,medium,Visual-Target-Only,46453,,3714,1974,50167,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",46453,3714,1974,50167,64074,4102,2333,68176,9
medium_003,medium,Visual-Target-Only,41504,,2414,1069,43918,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",41504,2414,1069,43918,43083,3758,2455,46841,6
medium_004,medium,Visual-Target-Only,97320,,5752,3214,103072,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",97320,5752,3214,103072,42930,2204,984,45134,6
medium_005,medium,Visual-Target-Only,192011,,16387,9809,208398,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",192011,16387,9809,208398,42695,2067,859,44762,6
medium_006,medium,Visual-Target-Only,30271,,5944,3491,36215,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",30271,5944,3491,36215,42728,2289,1081,45017,6
medium_007,medium,Visual-Target-Only,59694,,5726,3211,65420,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",59694,5726,3211,65420,44684,2059,910,46743,7
medium_008,medium,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,42625,3298,2156,45923,6
medium_009,medium,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,42660,2211,1055,44871,6
medium_010,medium,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,42834,2113,910,44947,6
medium_011,medium,Visual-Target-Only,32804,,3266,1670,36070,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",32804,3266,1670,36070,45248,2422,970,47670,7
medium_012,medium,Visual-Target-Only,30867,,6574,4605,37441,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",30867,6574,4605,37441,43292,2713,1253,46005,6
medium_013,medium,Visual-Target-Only,118633,,14173,10143,132806,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",118633,14173,10143,132806,70903,7340,4890,78243,9
medium_014,medium,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,45351,2455,896,47806,7
medium_015,medium,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,44681,1929,717,46610,7
medium_016,medium,Visual-Target-Only,206047,,12948,9037,218995,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",206047,12948,9037,218995,63673,4429,2698,68102,9
hard_001,hard,Visual-Target-Only,215983,,18075,12009,234058,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",215983,18075,12009,234058,84563,6587,3611,91150,11
hard_002,hard,Visual-Target-Only,91101,,9947,5809,101048,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",91101,9947,5809,101048,45134,2821,1411,47955,7
hard_003,hard,Visual-Target-Only,41206,,5806,3114,47012,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",41206,5806,3114,47012,43727,3748,2102,47475,6
hard_004,hard,Visual-Target-Only,31015,,4260,2067,35275,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",31015,4260,2067,35275,42896,2227,829,45123,6
hard_005,hard,Visual-Target-Only,51858,,5775,3141,57633,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",51858,5775,3141,57633,43526,2630,1029,46156,6
hard_006,hard,Visual-Target-Only,30659,,5004,1689,35663,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",30659,5004,1689,35663,42434,1491,324,43925,6
hard_007,hard,Visual-Target-Only,104397,,7072,3044,111469,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",104397,7072,3044,111469,46001,3846,2109,49847,7
hard_008,hard,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,43739,4899,3448,48638,6
hard_009,hard,Visual-Target-Only,295439,,20653,11208,316092,,visual_target_result.json:token_counts,"render_usage is reused S0/S1 from old demo2, not this CAD loop",295439,20653,11208,316092,43546,2224,836,45770,6
hard_010,hard,Visual-Target-Only,,,,,,,report.json:render_usage,CAD loop timed out before writing visual_target_result.json; first LLM call tokens not saved. official_scores total_tokens equals reused render_usage only.,,,,,62830,4386,2500,67216,8
