case_id,difficulty,condition,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,calls,source,note
easy_001,easy,Harness-Only,54250,,7438,4068,61688,4,easy_001/usage.csv,done
easy_002,easy,Harness-Only,63445,,3511,2267,66956,4,easy_002/usage.csv,done
easy_003,easy,Harness-Only,130326,,9129,5709,139455,5,easy_003/usage.csv,needs_review
easy_004,easy,Harness-Only,122629,,5016,2291,127645,4,easy_004/usage.csv,done
easy_005,easy,Harness-Only,41230,,2950,1959,44180,3,easy_005/usage.csv,done
easy_006,easy,Harness-Only,79418,,8420,4778,87838,5,easy_006/usage.csv,done
easy_007,easy,Harness-Only,40398,,3406,1619,43804,3,easy_007/usage.csv,done
easy_008,easy,Harness-Only,238618,,11001,5050,249619,5,easy_008/usage.csv,needs_review
easy_009,easy,Harness-Only,23064,,5852,3836,28916,2,easy_009/usage.csv,done
easy_010,easy,Harness-Only,111076,,2909,1559,113985,3,easy_010/usage.csv,done
easy_011,easy,Harness-Only,49163,,8833,5866,57996,4,easy_011/usage.csv,needs_review
easy_012,easy,Harness-Only,72776,,7205,3943,79981,4,easy_012/usage.csv,done
easy_013,easy,Harness-Only,192864,,17836,13190,210700,9,easy_013/usage.csv,needs_review
easy_014,easy,Harness-Only,154559,,6231,4400,160790,4,easy_014/usage.csv,done
easy_015,easy,Harness-Only,135164,,5498,3433,140662,3,easy_015/usage.csv,done
easy_016,easy,Harness-Only,62763,,3741,1729,66504,4,easy_016/usage.csv,done
medium_001,medium,Harness-Only,37230,,5560,3803,42790,3,medium_001/usage.csv,done
medium_002,medium,Harness-Only,40753,,2712,1327,43465,3,medium_002/usage.csv,done
medium_003,medium,Harness-Only,67720,,4119,2002,71839,3,medium_003/usage.csv,done
medium_004,medium,Harness-Only,162892,,6248,3528,169140,5,medium_004/usage.csv,done
medium_005,medium,Harness-Only,42208,,4473,2350,46681,3,medium_005/usage.csv,done
medium_006,medium,Harness-Only,215718,,22250,12944,237968,10,medium_006/usage.csv,needs_review
medium_007,medium,Harness-Only,23196,,3536,1991,26732,2,medium_007/usage.csv,done
medium_008,medium,Harness-Only,130057,,3404,1729,133461,3,medium_008/usage.csv,done
medium_009,medium,Harness-Only,42536,,5667,3203,48203,3,medium_009/usage.csv,done
medium_010,medium,Harness-Only,209539,,4582,2789,214121,5,medium_010/usage.csv,done
medium_011,medium,Harness-Only,49390,,6091,4204,55481,3,medium_011/usage.csv,done
medium_012,medium,Harness-Only,78222,,8194,4210,86416,5,medium_012/usage.csv,done
medium_013,medium,Harness-Only,82921,,7345,3921,90266,5,medium_013/usage.csv,done
medium_014,medium,Harness-Only,151946,,5859,3540,157805,4,medium_014/usage.csv,done
medium_015,medium,Harness-Only,188044,,12877,6860,200921,4,medium_015/usage.csv,done
medium_016,medium,Harness-Only,63328,,4886,3286,68214,4,medium_016/usage.csv,done
hard_001,hard,Harness-Only,37049,,5172,3410,42221,3,hard_001/usage.csv,done
hard_002,hard,Harness-Only,62282,,7752,4894,70034,4,hard_002/usage.csv,done
hard_003,hard,Harness-Only,68610,,7449,4404,76059,3,hard_003/usage.csv,done
hard_004,hard,Harness-Only,118867,,5950,3841,124817,4,hard_004/usage.csv,done
hard_005,hard,Harness-Only,82351,,4835,3188,87186,5,hard_005/usage.csv,done
hard_006,hard,Harness-Only,55546,,5738,3550,61284,4,hard_006/usage.csv,done
hard_007,hard,Harness-Only,70399,,9253,4428,79652,4,hard_007/usage.csv,done
hard_008,hard,Harness-Only,235598,,18337,9261,253935,5,hard_008/usage.csv,needs_review
hard_009,hard,Harness-Only,179712,,22461,14883,202173,8,hard_009/usage.csv,done
hard_010,hard,Harness-Only,392357,,14234,8059,406591,9,hard_010/usage.csv,done
hard_011,hard,Harness-Only,107709,,11743,7499,119452,5,hard_011/usage.csv,done
hard_012,hard,Harness-Only,279881,,47288,22379,327169,12,hard_012/usage.csv,needs_review
hard_013,hard,Harness-Only,181416,,23714,13978,205130,8,hard_013/usage.csv,needs_review
hard_014,hard,Harness-Only,200955,,10568,6459,211523,5,hard_014/usage.csv,done
hard_015,hard,Harness-Only,135348,,6712,4711,142060,3,hard_015/usage.csv,done
hard_016,hard,Harness-Only,91939,,5600,3790,97539,5,hard_016/usage.csv,done
