case_id,difficulty,baseline_input_tokens,baseline_cached_input_tokens,baseline_output_tokens,baseline_reasoning_tokens,baseline_total_tokens,baseline_calls,visual_input_tokens,visual_cached_input_tokens,visual_output_tokens,visual_reasoning_tokens,visual_total_tokens,visual_calls,harness_input_tokens,harness_cached_input_tokens,harness_output_tokens,harness_reasoning_tokens,harness_total_tokens,harness_calls,diacad_input_tokens,diacad_cached_input_tokens,diacad_output_tokens,diacad_reasoning_tokens,diacad_total_tokens,diacad_calls,visual_loop_input_tokens,visual_loop_output_tokens,visual_loop_reasoning_tokens,visual_loop_total_tokens,visual_render_input_tokens,visual_render_output_tokens,visual_render_reasoning_tokens,visual_render_total_tokens
easy_001,easy,16295,,1130,342,17425,,29452,,1320,421,30772,,54250,,7438,4068,61688,4,113673,,8818,4080,122491,10,29452,1320,421,30772,45515,3439,2024,48954
easy_002,easy,16881,,2017,901,18898,,64787,,5104,3412,69891,,63445,,3511,2267,66956,4,86044,,5487,2879,91531,9,64787,5104,3412,69891,45113,2953,1573,48066
easy_003,easy,17323,,1963,792,19286,,29891,,2513,1265,32404,,130326,,9129,5709,139455,5,328828,,23646,13365,352474,14,29891,2513,1265,32404,43155,3652,2173,46807
easy_004,easy,18315,,4721,3149,23036,,30935,,4716,3228,35651,,122629,,5016,2291,127645,4,187943,,13368,6924,201311,16,30935,4716,3228,35651,82916,6764,3943,89680
easy_005,easy,23617,,1298,480,24915,,37495,,1913,718,39408,,41230,,2950,1959,44180,3,143284,,10509,5808,153793,10,37495,1913,718,39408,42318,1870,815,44188
easy_006,easy,37579,,3336,1271,40915,,31634,,2385,1131,34019,,79418,,8420,4778,87838,5,104294,,7915,4797,112209,9,31634,2385,1131,34019,42230,1268,265,43498
easy_007,easy,23497,,4596,2496,28093,,41281,,3466,1453,44747,,40398,,3406,1619,43804,3,88063,,7232,3844,95295,9,41281,3466,1453,44747,45344,2209,882,47553
easy_008,easy,2265,,479,84,2744,1,,,,,,,238618,,11001,5050,249619,5,262962,,11178,4017,274140,10,,,,,42614,1758,663,44372
easy_009,easy,52103,,8878,4521,60981,,36579,,3899,1655,40478,,23064,,5852,3836,28916,2,84818,,6674,3552,91492,8,36579,3899,1655,40478,42427,1844,776,44271
easy_010,easy,2227,,366,58,2593,1,,,,,,,111076,,2909,1559,113985,3,130867,,6572,3456,137439,8,,,,,42593,1619,546,44212
easy_011,easy,54866,,8024,4729,62890,,188184,,7969,4331,196153,,49163,,8833,5866,57996,4,127861,,6224,2992,134085,10,188184,7969,4331,196153,42153,2239,1224,44392
easy_012,easy,190348,,10727,4234,201075,,71572,,4178,2083,75750,,72776,,7205,3943,79981,4,153944,,12819,7246,166763,11,71572,4178,2083,75750,45305,3475,2328,48780
easy_013,easy,38641,,2998,1436,41639,,161208,,10620,7592,171828,,192864,,17836,13190,210700,9,173386,,13420,9654,186806,11,161208,10620,7592,171828,42563,2367,1314,44930
easy_014,easy,2221,,324,31,2545,1,,,,,,,154559,,6231,4400,160790,4,290447,,16421,9391,306868,12,,,,,45373,3045,1616,48418
easy_015,easy,2224,,642,116,2866,1,,,,,,,135164,,5498,3433,140662,3,266854,,9088,4913,275942,11,,,,,44439,1689,662,46128
easy_016,easy,62703,,1655,560,64358,,24059,,1640,729,25699,,62763,,3741,1729,66504,4,86922,,8084,4646,95006,9,24059,1640,729,25699,44058,2302,1049,46360
medium_001,medium,17481,,3381,1824,20862,,29449,,4340,3264,33789,,37230,,5560,3803,42790,3,85779,,12921,8700,98700,9,29449,4340,3264,33789,46104,5139,3423,51243
medium_002,medium,17161,,2188,747,19349,,46453,,3714,1974,50167,,40753,,2712,1327,43465,3,265536,,19641,12276,285177,16,46453,3714,1974,50167,64074,4102,2333,68176
medium_003,medium,17248,,1856,553,19104,,41504,,2414,1069,43918,,67720,,4119,2002,71839,3,102547,,8682,4891,111229,8,41504,2414,1069,43918,43083,3758,2455,46841
medium_004,medium,128112,,7312,3390,135424,8,97320,,5752,3214,103072,,162892,,6248,3528,169140,5,113144,,8040,4600,121184,8,97320,5752,3214,103072,42930,2204,984,45134
medium_005,medium,19846,,3550,1770,23396,,192011,,16387,9809,208398,,42208,,4473,2350,46681,3,113282,,9119,4146,122401,9,192011,16387,9809,208398,42695,2067,859,44762
medium_006,medium,86593,,12401,7460,98994,7,30271,,5944,3491,36215,,215718,,22250,12944,237968,10,242567,,30493,18392,273060,14,30271,5944,3491,36215,42728,2289,1081,45017
medium_007,medium,23593,,2587,982,26180,4,59694,,5726,3211,65420,,23196,,3536,1991,26732,2,87307,,5646,2879,92953,9,59694,5726,3211,65420,44684,2059,910,46743
medium_008,medium,2232,,461,73,2693,1,,,,,,,130057,,3404,1729,133461,3,143505,,4849,2241,148354,8,,,,,42625,3298,2156,45923
medium_009,medium,93082,,12851,9125,105933,6,,,,,,,42536,,5667,3203,48203,3,113176,,11779,5572,124955,9,,,,,42660,2211,1055,44871
medium_010,medium,2241,,376,39,2617,1,,,,,,,209539,,4582,2789,214121,5,346894,,14874,7522,361768,12,,,,,42834,2113,910,44947
medium_011,medium,32170,,4446,3018,36616,3,32804,,3266,1670,36070,,49390,,6091,4204,55481,3,122445,,11070,5706,133515,10,32804,3266,1670,36070,45248,2422,970,47670
medium_012,medium,18622,,3356,1260,21978,3,30867,,6574,4605,37441,,78222,,8194,4210,86416,5,83932,,7256,3556,91188,8,30867,6574,4605,37441,43292,2713,1253,46005
medium_013,medium,62988,,7085,4515,70073,,118633,,14173,10143,132806,,82921,,7345,3921,90266,5,225348,,23654,15797,249002,14,118633,14173,10143,132806,70903,7340,4890,78243
medium_014,medium,2223,,467,117,2690,1,,,,,,,151946,,5859,3540,157805,4,471186,,22896,12223,494082,17,,,,,45351,2455,896,47806
medium_015,medium,2217,,393,27,2610,1,,,,,,,188044,,12877,6860,200921,4,207795,,8107,3461,215902,10,,,,,44681,1929,717,46610
medium_016,medium,40771,,3692,2499,44463,,206047,,12948,9037,218995,,63328,,4886,3286,68214,4,86860,,9200,6571,96060,9,206047,12948,9037,218995,63673,4429,2698,68102
hard_001,hard,28909,,7197,3787,36106,4,215983,,18075,12009,234058,,37049,,5172,3410,42221,3,112757,,14325,8925,127082,10,215983,18075,12009,234058,84563,6587,3611,91150
hard_002,hard,92799,,11480,5373,104279,7,91101,,9947,5809,101048,,62282,,7752,4894,70034,4,86693,,9537,5692,96230,9,91101,9947,5809,101048,45134,2821,1411,47955
hard_003,hard,43041,,4178,1543,47219,3,41206,,5806,3114,47012,,68610,,7449,4404,76059,3,103245,,9778,5543,113023,8,41206,5806,3114,47012,43727,3748,2102,47475
hard_004,hard,65851,,9155,4256,75006,6,31015,,4260,2067,35275,,118867,,5950,3841,124817,4,112983,,7040,3685,120023,8,31015,4260,2067,35275,42896,2227,829,45123
hard_005,hard,70231,,14534,5255,84765,6,51858,,5775,3141,57633,,82351,,4835,3188,87186,5,130753,,11010,6939,141763,11,51858,5775,3141,57633,43526,2630,1029,46156
